"hardlink","Hardlink"
"text","Текст"
"document","Документ"
"asset","Ресурс"
"bool","Булев"
"object","Объект"
"remove","Удалить"
"your_object_has_been_saved","Ваш объект был сохранен"
"hidden_dependencies","Имеются дополнительные зависимости, на просмотр которых отсутсвуют привиллегии"
"loading","Загрузка"
"open","Открыть"
"pimcore_setup","Установщик"
"pimcore_setup_not_allowed","Pimcore уже установлена. Переустановка невозможна."
"pimcore_setup_not_ready","Обнаружена ошибка. Pimcore не готов к установке."
"db_settings_found","INFO: Параметры базы данных обнаружены"
"db_already_setup","INFO: Не удалось соединиться с БД"
"could_not_create_tables","ОШИБКА: Импорт дампа БД не удался."
"could_not_create_dir_for_log","ОШИБКА: Не удается создать директорию для лог-файла"
"could_not_write_log","ОШИБКА: Нет доступа для перезаписи лог-файла. Пожалуйста, измените разрешения."
"system_xml_not_writeable","ОШИБКА: Файл System.xml не доступен для записи."
"system_xml_dir_not_writeable","ОШИБКА: Нет доступа для перезаписи директории website/var/config."
"system_xml_exists","Внимание! Файл website/var/config/system.xml уже существует и будет перезаписан инсталлятором."
"could_not_verify_db_encoding","ОШИБКА: не возможно определить кодировку БД"
"wrong_db_encoding","ОШИБКА: Кодировка БД не utf8."
"no_db_connection","ОШИБКА: Не возможно установить соединение с БД."
"db_adapter_unknown","ОШИБКА: Не известный адаптер БД."
"could_not_create_admin_user","ОШИБКА: Не возможно создать пользователя-администратора"
"add_user","Добавить пользователя"
"could_not_write_system_xml","ОШИБКА: Не возможно создать system.xml "
"pimcore_setup_completed","Установка Pimcore успешно завершена!"
"submit","Отправить"
"steps_description","Если вы хотите использовать шаги при версионировании вместо дней - оставьте поле пустым"
"days","Дней"
"steps","Шаги"
"adapter","Адаптер базы данных"
"dbname","Название базы данных"
"database","База данных"
"version_days","Количество дней для версионирования"
"version_steps","Количество шагов версионирования"
"problem_creating_new_class","Произошла ошибка. Убедитесь, что имя класса содержит как минимум 3 символа."
"seemode","Режим просмотра"
"edit_current_page","Редактировать страницу"
"close","Закрыть"
"name_already_in_use","Название уже используется"
"name_and_key_must_be_defined","Имя и тип должны быть указаны"
"mandatory_field_empty","Пожалуйста, заполните все обязательные поля"
"plugins","Плагины"
"plugin_info","Информация о плагине"
"available_plugins","Доступные плагины"
"settings_plugins","Опции"
"plugin_classname","Имя класса плагина"
"plugin_includepaths","Включаемые пути для плагина"
"plugin_namespaces","Пространство имен для плагина"
"plugin_jspaths","JavaScript файлы плагина"
"plugin_csspaths","CSS файлы плагина"
"install","Установить"
"uninstall","Удалить"
"plugin_uninstall_warning","Вы действительно хотите удалить этот плагин? ВНИМАНИЕ! Все данные этого плагина будут удалены!"
"some_fields_cannot_be_saved","Некоторые поля не могут быть сохранены"
"icon_path","Путь к иконке"
"reload","Перезагрузить"
"plugin_needs_reload","Для правильной работы этот плагин требует перезагрузки интерфейса пользователя. Обновить интерфейс?"
"plugin_installing_please_wait","Плагин был установлен, пожалуйста подождите..."
"schedule","Расписание"
"time","Время"
"version","Версия"
"active","Активный"
"success","Успех"
"successful_saved_document","Ваш документ был сохранен"
"error_moving_document","Ваш документ не может быть перемещен"
"translations","Переводы"
"translations_admin","Переводы административной панели"
"debug_description","Если дебаг включён, то ошибки и предупреждения выводятся на прямую в браузер, в противном случае этого не происходит( аналогично если установлен контроллер ошибок (Error Page))"
"icon","Иконка"
"add_document","Добавить документ"
"please_enter_the_name_of_the_new_document","Введите название нового документа"
"successful_saved_asset","Ресурс успешно сохранен"
"error_saving_asset","Невозможно сохранить ресурс"
"error_saving_document","Невозможно сохранить документ"
"error_saving_object","Невозможно сохранить объект"
"please_enter_the_name_of_the_new_object","Введите название для нового объекта"
"slider","Ползунок"
"name_not_valid","Некорректное имя"
"filename_not_valid","Некорректное имя"
"firstname","Имя"
"lastname","Фамилия"
"email","Электронная почта"
"cant_move_node_to_target","Перемещение узла невозможно"
"error_moving_object","Объект не может быть перемещен"
"error_creating_object","Невозможно создать объект"
"error_creating_document","Невозможно создать документ"
"domain","Домен (например, example.org)"
"translations_are_not_configured","Перевод не настроен"
"read_more_here","Более подробно об этом"
"admin_theme","Тема административного интерфейса"
"publish_version","Опубликованная версия"
"no_version","Нет доступных версий"
"save_only_new_version","Только сохранить новую версию"
"there_is_a_newer_not_published_version","Есть более новая неопубликованная версия"
"datetime","Дата и время"
"google_credentials_and_api_keys","Полномочия и ключи API служб Google"
"default_value","Значение по умолчанию"
"button","Кнопка"
"priority","Приоритет"
"from","От"
"to","Кому"
"start","Начало"
"end","Конец"
"location","Местоположение"
"every","Каждый"
"su","Вс"
"mo","Пн"
"tu","Вт"
"we","Ср"
"th","Чт"
"fr","Пт"
"sa","Сб"
"categories","Категории"
"multihref","Multi-Href"
"session_error_text","Возможно, произошла ошибка. Вы желаете остаться в сессии на свой страх и риск?"
"session_error","Ошибка сессии"
"update_successful","Обновление проведено успешно!"
"select_plugin_update","Выберите обновление плагина."
"select_update","Выберите обновление"
"stable_updates","Доступны стабильные обновления"
"non_stable_updates","Доступны нестабильные обновления"
"looking_for_updates","Pimcore ищет более новую версию. В зависимости от того, какая у вас сборка, эта процедура может занять время."
"please_wait","Пожалуйста, ждите..."
"latest_version_already_installed","Вы установили последнюю версию"
"latest_pimcore_version_already_installed","Вы установили последнюю версию pimcore"
"plugin_update_error","Произошла ошибка, пожалуйста, проверьте права или попробуйте позже."
"update_error","Произошла ошибка"
"downloading_packages","Загрузка пакетов ..."
"start_update","Запустить обновление"
"update_in_progress","Обновление в процессе ..."
"plugindownload","Скачать плагины"
"download_plugins","Скачать плагины"
"download","Скачать"
"revision","Собрать"
"plugin_downloaded","Плагин скачан"
"plugin_downloaded_info","Плагин был добавлен. Пожалуйста, проверьте вкладку 'доступные плагины' и установите его."
"plugin_download_failed","Ошибка при попытке скачать"
"plugin_download_failed_info","Загрузка плагина не удалась. Пожалуйста, проверьте права доступа!"
"plugin_repositories","Серверы плагинов (через запятую)"
"inheritable","Наследуется"
"mendatory_field_empty","Не заполнено обязательное поле"
"table","Таблица"
"rows","Строки"
"cols","Столбцы"
"data","Данные"
"table_settings","Настройки таблицы"
"multihref_settings","Многопользовательские ссылки"
"redirects","Перенаправления"
"source","Источник"
"language_admin","Язык по умолчанию в Админе"
"valid_languages_frontend","Используемые языки"
"link","Ссылка"
"abbr","Аббревиатура"
"acronym","Акроним"
"downloading_plugin","Идет загрузка плагина..."
"cache_enabled","Включить"
"cache_exclude_patterns","Исключая шаблоны"
"systemlog","Системные сообщения"
"stop","Остановить"
"outputfilters","Фильтры вывода"
"image_datauri_filter","Данные пути изображения"
"dependencies","Зависимости"
"requires","Требует"
"required_by","Требуется для"
"search_edit","Поиск, Редактирование и Экспорт"
"subtype","Подтип"
"minify_html","Минимизировать HTML"
"initializing","Инициализация ..."
"backup_error","Произошла ошибка во время резервного копирования"
"plugin_dir_error","Каталог плагина не существует или не доступен для записи."
"user_save_success","Данные профиля пользователя успешно сохранены."
"user_save_error","Данные профиля пользователя не могут быть сохранены."
"system_settings_save_success","Настройки системы успешно сохранены."
"system_settings_save_error","Настройки системы не могут быть сохранены"
"maintenance_not_active","похоже что , обслуживание не установлено полностью"
"mail_settings_incomplete","Похоже, что почта не настроена полностью"
"cover","Обложка"
"contain","Содержать"
"please_select_a_type","Пожалуйста, выберите тип"
"min_value","минимальное значение"
"max_value","максимальное значение"
"increment","Шаг"
"vertical","Вертикальный"
"datetime_settings","Настройки даты и времени"
"filter","Фильтр"
"add_filter","Добавить фильтр"
"field","Поле"
"operator","Оператор"
"apply","Применить"
"clear_filter","Очистить фильтр"
"output_cache","Кэш страниц"
"lifetime","Время жизни"
"country","Страна"
"country_settings","Настройки страны"
"show","Показать"
"public","Публичный"
"maximum_2_versions","Вы можете сравнивать не более 2 версий"
"error","Ошибка"
"element_is_locked","Элемент используется другим пользователем"
"element_lock_message","Запрашиваемый элемент в настойщий момент открыт другим пользователем:"
"element_lock_question","Вы действительно хотите открыть?"
"since","Начиная с"
"longitude","Долгота"
"latitude","Широта"
"geopoint","Географическая точка"
"geopoint_settings","Настройки географической точки"
"google_api_key_simple","Google API Key (Simple API Access for Maps, CSE, ...)"
"google_api_key_service","Google API Credentials (Service Account Client ID for Analytics, ...)"
"cancel","Отмена"
"current_address","Текущий адрес"
"open_search_editor","Открыть поисковый редактор"
"parameters","Параметры"
"anchor","Якорь"
"accesskey","Ключ доступа"
"relation","Отношение"
"tabindex","Индекс табуляцииэ"
"not_set","не задан"
"document_restrictions","Ограничения Документов"
"asset_restrictions","Ограничения Ресурсов"
"object_restrictions","Ограничения Объектов"
"allow_documents","разрешить Документы"
"allow_assets","разрешить Ресурсы"
"allow_objects","разрешить Объекты"
"allowed_types_hint","(пусто = разрешить все)"
"allowed_document_types","Разрешенные типы документов"
"allowed_asset_types","Разрешенные типы ресурсов"
"export_csv","CSV экспорт"
"import_csv","CSV импорт"
"show_welcome_screen","Показывать приветствие при загрузке"
"edit_user_permissions","Редактировать права пользователя"
"plugin_misconfiguration","Не возможно открыть плагины. Пожалуйста, проверьте разрегшения на папку с плагинами и сервер плагинов в системных параметрах."
"plugin_repositories_description","Укажите один или несколько плагин-серверов, с которых Pimcore будет осуществлять закачку обновлений для плагинов."
"website","Веб-сайт"
"plugin_build","версия плагина"
"permission_overwrite_children","Сохранить и применить к потомкам"
"permission_reset","Сбросить"
"superselectbox_empty_text","Пожалуйста, выберите желаемое значение и нажмите ввод"
"valid_languages_frontend_empty_text","Пожалуйста, выберите правильный системный язык"
"language_download","Закачать языки"
"language_downloaded","Загружен файл языка"
"language_downloaded_info","Языковой файл успешно установлен. Для того, чтобы язык был доступен, необходимо перезагрузить pimcore. Хотите перезагрузить Pimcore прямо сейчас?"
"language_download_failed","Не удалось закачать языки"
"language_download_failed_info","Не удается загрузить файл языков"
"language_translation_percentage","переведено"
"downloading_language","Загрузка языкового файла"
"user_creation_error","Невозможно создать пользователя"
"duplicate_username","Имя пользователя и группы должны быть уникальными!"
"importFileHasHeadRow","первая строка = заголовок"
"log_messages_user_mail_description","Email recipient of messages for activated log levels. This must be an admin user with a email address. Please make sure that the email settings are provided correctly if you want to use email logging."
"log_messages_user_mail_recipient","Email получателя сообщений об ошибках"
"loglevels","Уровень логгирования"
"loglevels_description","The levels checked will be logged to website/var/log/debug.log. The most critical errors are always logged, they should not be deactivated."
"email_senderemail","Email отправителя"
"email_sendername","Имя отправителя"
"email_returnemail","Обратный email адрес"
"email_returnname","Return Name"
"email_method","Email Method"
"email_smtp_host","SMTP Хост"
"email_smtp_port","SMTP Порт"
"email_smtp_name","SMTP Имя"
"email_smtp_auth_method","SMTP Способ аутентификации"
"no_authentication","Без аутентификации"
"email_smtp_auth_username","Имя пользователя SMTP"
"email_smtp_auth_password","Пароль SMTP"
"email_smtp_ssl","Тип шифрования"
"email_debug_addresses","Debug Email Addresses"
"email_debug_addresses_empty_text","Введите список почтовых ящиков, которым разрешено получать дебаг письма"
"email_debug_domains","Debug email domains"
"email_debug_domains_empty_text","Enter a list of domains (e.g. pimcore.org) that are allowed to receive debug emails. All email addresses form this domains are allowed to receive debug emails."
"no_ssl","-"
"user_settings","Настройки пользователя"
"error_deleting_object","Невозможно удалить объект"
"user_object_dependencies","Пользователь - Зависимости объекта"
"user_object_dependencies_description","This user is referenced in the following objects:"
"overwrite_object_with_same_key","Заменить"
"overwrite_object_with_same_key_description","When overwrite is checked, instead of creating a new object for each import row, objects with the same key are replaced. Existing objects in your import folder with keys not contained in the import file will remain untouched. Please be aware that all objects which have a matching key in the import file will be replaced in the target folder. This is also true for objects based on a different class or even object folders! Object fields which are set to ignore in the field mapping keep their old value."
"object_import_filename_description","select the field which is used to generate the object key"
"save_pubish_close","Сохранить, опубликовать и закрыть"
"save_close","Сохранить и закрыть"
"webservice","Web Service API (Beta Feature)"
"webservice_enabled","Web Service API enabled"
"webservice_description","Enabling the web service allows all admin users to access the pimcore SOAP API (Note: web service must be enabled for the WSDL to become accessible). Please check the pimcore wiki to find out how the token needs to be generated."
"user_admin_description","Admin users do not only automatically gain all permissions listed below, they are also allowed to perform all actions on documents, assets and objects without any restrictions. Moreover, admin users can access pimcore assets through WebDAV and the pimcore SOAP API (Provided that WebDAV and web service access is enabled and configured in the system settings)"
"user_apikey_change_warning","Please be aware that changing the password also changes the web service API key."
"user_apikey_description","API key required for web service access by this user"
"apikey","API ключ"
"successful_publish_document","Ваш документ был опубликован"
"successful_unpublish_document","Публикация Вашего документа была отменена"
"error_publish_document","Ваш документ не может быть опубликован"
"error_unpublish_document","Отмена публикации Вашего документа невозможна"
"successful_publish_object","Ваш объект был опубликован"
"successful_unpublish_object","Публикация Вашего объекта отменена"
"error_publish_object","Ваш объект не может быть опубликован"
"error_unpublish_object","Отмена публикации Вашего объекта невозможна"
"error_general","Server threw exception - could not perform action"
"missing_permission","Недостаточно прав для этой операции"
"lazy_loading","'Ленивая' загрузка"
"lazy_loading_description","Lazy loading means that related objects are not loaded initially when the object is instantiated. When accessing the object programmatically, relations are only loaded when the according get method is called."
"lazy_loading_activated","(ленивая загрузка активирована)"
"non_owner_description","Non owner objects represent relations to an other object just in the same way as objects do. The difference is, that a non owner object field is not the owner of the relation data, it is merely a view on data stored in other objects. Please choose the owner and field name where the data is originally stored."
"owner_class","Владелец класса"
"owner_field","Владелец поля"
"nonownerobject_warning","The current object is not the owner of these relations, making changes here might make saving the object slow"
"element_implicit_edit_question","Would you still like to implicity modify it with this action?"
"element_is_open","Referenced elment is already open"
"element_open_message","The desired element already open for editing."
"nonownerobjects","Objects (Non Owner)"
"nonownerobjects_self_selection","In non owner objects a  relation to myself is not possible, please use original field instead of non owner field."
"warning","Предупреждение"
"csv_object_export_warning","Please note that the CSV export does not support all data types. Consequently, re-importing an export CSV to pimcore might lead to data loss. Press OK to continue with export."
"Initializing","Инициализация"
"import_archive","Импорт архива"
"export_archive","Экспорт (архив)"
"element_export_skip_root","Экспортировать дочерние элементы"
"element_export_recursive","Включить дочерние элементы"
"element_export_include_relations","Включить зависимые элементы"
"exporting_elements","Экспортировать элементы ..."
"export_items_finished","пунктов завершено"
"element_import_settings","Настройки импорта"
"element_import_overwrite","Перезаписать элементы при совпадении путей"
"importing_elements","Импортировать элементы"
"element_import","Импортирование"
"element_import_finished","Импортирование завершено"
"element_import_finished_hint","Все элементы были успешно импортированы. Если связанные элементы были включены, pimcore попытается вернуть их их первоначальному пути. Если тот путь не существует, pimcore вернёт их корневому каталогу"
"error_renaming_object","Произошла ошибка при переименовании объекта"
"element_import_import","импортирование элементов - переименование при совпадении путей"
"navigation_settings","Настройки навигации"
"navigation_enhanced","Расширенные Настройки навигации"
"navigation_target","направление"
"navigation_basic","Основные настройки навигации"
"further_navigation_settings","Дополнительные настройки навигации"
"navigation_exclude","Исключить из навигации"
"allow_variants","Допустимые варианты"
"variants","Варианты"
"variant","Вариант"
"add_variant","Добавить вариант"
"please_enter_the_name_of_the_new_variant","Пожалуйства введите имя нового варианта"
"remove_variant","Удалить вариант"
"remove_variant_text","Вы действительно хотите удалить это вариант?"
"error_creating_variant","Ошибка создания варианта"
"prevented creating object because object with same path+key already exists","Создание не возможно так как вариант или объект с указанными ключом и путём уже существует"
"allowed_class_field","Разрешенный класс/поле"
"swf_upload_text_add","Добавить файл(ы)"
"swf_upload_text_upload","Загрузить файл(ы)"
"swf_upload_text_cancel","Отменить загрузку"
"swf_upload_text_clear","Очистить очередь"
"swf_upload_text_progressbar","Прогресс бар"
"swf_upload_text_remove","Удалить файл"
"swf_upload_text_remove_sure","Вы действительно хотите удалить файл из очереди?"
"swf_upload_text_error","Ошибка"
"swf_upload_text_uploading","Загружается файл: {0} ({1} из {2})"
"swf_upload_header_filename","Имя файла"
"swf_upload_header_size","Размер"
"swf_upload_header_status","Статус"
"swf_upload_status_queued","В очереди"
"swf_upload_status_uploading","Загружается..."
"swf_upload_status_completed","Готово"
"swf_upload_status_error","Ошибка"
"swf_upload_status_cancelled","Отменено"
"swf_upload_error_queue_exceeded","The selected file(s) exceed(s) the maximum number of {0} queued files."
"swf_upload_error_queue_slots_0","There is no slot left"
"swf_upload_error_queue_slots_1","There is only one slot left"
"swf_upload_error_queue_slots_2","There are only {0} slots left"
"swf_upload_error_size_exceeded","The selected files size exceeds the allowed limit of {0}."
"swf_upload_error_zero_byte_file","Выбран пустой файл"
"swf_upload_error_invalid_filetype","Выбран неверный тип файла"
"swf_upload_error_file_not_found","Файл не найден 404"
"swf_upload_error_security_error","Security Error. Not allowed to post to different url"
"delete_message_dependencies","There are dependencies, delete anyway?"
"delete_message","Вы действительно хотите удалить этот элемент?"
"objectbricks","Блок"
"add_objectbrick","Добавить блок"
"delete_objectbrick","Удалить блок"
"delete_objectbrick_text","Do you really want to delete the selected objectbrick?"
"class_definitions","Class definitions"
"enter_the_name_of_the_new_objectbrick","Введите имя нового блока"
"no_further_objectbricks_allowed","No further objectbricks allowed"
"problem_creating_new_objectbrick","Проблема при создании блока"
"structuredTable","Размеченная таблица"
"structuredTable_settings","Settings Structured Table"
"position","Позиция"
"structuredtable_type_number","Число"
"structuredtable_type_text","Текст"
"structuredtable_type_bool","Флажок"
"structuredtable_invalid_key","Неверный ключ"
"data_width","Ширина колонки данных"
"grid_current_language","Текущий язык"
"grid_column_config","Настройка столбца"
"selected_grid_columns","Выбранные столбцы сетки"
"object_columns","Объектные столбцы"
"system_columns","Системные столбцы"
"columns","Столбцы"
"children_grid","Сетка потомка"
"only_children","только прямые потомки объекта"
"hotspotimage_add_selector","Добавть Хот-спот"
"hotspotimage_enter_name_of_new_hotspot","Введите имя нового Хот-спота"
"hotspotimage","Изображение с Хот-спотом"
"hotspotimage_no_image","Пожалуйста укажите вначале изображение"
"objectsMetadata_allowed_class","Разрешенные классы"
"objectsMetadata_visible_fields","Видимые поля"
"objectsMetadata_type_number","Число"
"objectsMetadata_type_text","Текст"
"objectsMetadata_type_bool","Булево"
"objectsMetadata_type_select","Выбрать"
"objectsMetadata_settings","Настройки(Объекты и метаданные)"
"objectsMetadata","Объекты и метаданные"
"objectbrick_saved_successfully","Блок объекта успешно сохранен "
"cut","Вырезать"
"paste_cut_element","Вставить вырезанный элемент"
"","Добавить группу пользователей"
"","Все Классы"
"","Здесь вы можете указать отдельную учетную запись Google для аналитикса (Google-Analytics), если вы не заполните эти данные, тогда будет использована учетная запись Google, указанная в настройках системы."
"","ID аккаунта (UA-xxxxx-x)"
"","Отключить cookie"
"","Время жизни кэша (необязательный параметр). Если значение не указано - кэш очищается при каждом обращении к страницам ЦМС"
"","Сеть доставки контента"
"","Хосты сети доставки контента"
"","CDN шаблоны"
"","Удалить пользователя"
"","Удалить группу пользователей"
"","Ключ разработчика"
"","Страница ошибки"
"","Реквизиты аккаунта Google"
"","Аккаунт Google используется, для примера, для интеграции серисов YouTube и Google-Analitics"
"","Ключ Google Maps API"
"","API-ключ рекомендован для поля географической точки. Он делает доступным более продвинутый режим редактирования"
"","Похоже, что "
"","Ресурсы"
"","Классы"
"","Очистить кэш"
"","Удалить временные файлы"
"","Типы документов"
"","Документы"
"","Формы"
"","Объекты"
"","Плагины"
"","Предопределенные свойства"
"","Маршруты"
"","Просмотр сайта"
"","Системные настройки"
"","Миниатюры"
"","Переводы"
"","Пользователи"
"","Глоссарий"
"","Перенаправления"
"","Отчеты и Маркетинг"
"","Обновление"
"","Пожалуйста, введите название группы пользователей:"
"","Пожалуйста, введите имя пользователя:"
"","API Scribd (для предпросмотра ресурсов PDF)"
"","Выбор набора полей"
"","Системная информация"
"","Есть зависимости, продолжить все равно?"
"","Имя файла верификации"
"","В этом разделе вы можите указать отдельный аккаунт для Google сервиса веб-мастера. Если Вы оставите поле пустым будет использован стандартный аккаунт из системных настроек."
"","API YouTube (для предпросмотра ресурсов)"
"","Youtube не настроен. Чтобы разрешить просмотр цифрового видео, пожалуйста, убедитесь, что Youtube в настройках системы настроен правильно."
