"delete_master_document","Delete master document"
"store_version_history_in_steps","Guardar el historial de versión durante x Pasos"
"refresh","Refrescar"
"classes","Clases"
"static_routes","Rutas estáticas"
"add_class","Agregar Clase"
"enter_the_name_of_the_new_class","Por favor especificar el nombre de la nueva clase"
"layout","Diseño"
"add_layout_component","Agregar componente del diseño"
"add_data_component","Agregar componente de datos"
"accordion","Acordeón"
"fieldset","Fieldset"
"panel","Panel"
"tabpanel","Tabpanel"
"pattern","Patrón"
"variables","Variables"
"defaults","Valores por defecto"
"input","Input"
"checkbox","Checkbox"
"textarea","Textarea"
"wysiwyg","WYSIWYG"
"numeric","Número"
"href","Href"
"image","Imagen"
"select","Selecciona"
"objects","Objetos"
"structured","Estructurado"
"geo","Geográfico"
"base","Base"
"default_controller","Controlador por defecto"
"default_action","Acción por defecto"
"error_pages","Páginas de Error"
"no_preview_available","Lo siento, no está disponible la vista previa"
"add_object","Agregar objeto"
"basic_configuration","Configuración básica"
"allow_inherit","Permitir herencia"
"parent_class","Clase padre"
"general_settings","Configuración general"
"layout_settings","Opciones Del Tema (Administador Pimcore)"
"region","Región"
"border","Borde"
"collapsible","Colapsable"
"display_layout_to_users","Mostrar el diseño solamente a estos usuarios"
"date_settings","Configuración (Fecha)"
"input_settings","Configuración (Entrada)"
"textarea_settings","Configuración (Área de texto)"
"wysiwyg_settings","Configuración (WYSIWYG)"
"numeric_settings","Configuración (Número)"
"image_settings","Configuración (Imagen)"
"objects_settings","Configuración (Objetos)"
"nonownerobjects_settings","Configuración (Objetos Sin Dueño)"
"href_settings","Configuración (Href)"
"select_settings","Configuración (Select)"
"checkbox_settings","Configuración (Checkbox)"
"allowed_classes","Clases permitidas"
"display_name","Mostrar nombre"
"not_editable","No editable"
"floating","Elemento flotante"
"index","Indexado"
"mandatoryfield","Campo obligatorio"
"use_as_site","Usar como sitio"
"edit_domains","Editar dominios"
"remove_site","Quitar sitio"
"text","Texto"
"document","Documento"
"asset","Recurso"
"bool","Booleano"
"object","Objeto"
"remove","Quitar"
"your_object_has_been_saved","Tu objeto ha sido guardado"
"hidden_dependencies","Hay dependencias adicionales que su usuario no puede ver por no tener los permisos adecuados."
"loading","Cargando"
"open","Abrir"
"pimcore_setup","Instalador"
"pimcore_setup_not_allowed","Parece que pimcore ya está instalado. No es posible reinstalarlo."
"pimcore_setup_not_ready","Ha ocurrido un error. Pimcore no está listo para configurar"
"db_settings_found","INFO: Se encontró configuración de base de datos."
"db_already_setup","INFO: Se conectó a la base de datos."
"could_not_create_tables","ERROR: Falló la importación del volcado de la base de datos."
"could_not_create_dir_for_log","ERROR: No se pudo crear el directorio para el archivo de registro"
"could_not_write_log","ERROR: el archivo de registro no es escribible. Por favor ajustar los permisos."
"system_xml_not_writeable","ERROR: system.xml no es escribible."
"system_xml_dir_not_writeable","ERROR: El directorio website/var/config no es escribible."
"system_xml_exists","¡Atención! El archivo website/var/config/system.xml ya existe y será sobrescrito por el instalador."
"could_not_verify_db_encoding","ERROR: No se pudo determinar el conjunto de caracteres de la base de datos."
"wrong_db_encoding","ERROR: El conjunto de caracteres de la base de datos no está establecido a utf8."
"no_db_connection","ERROR: No se pudo establecer una conexión con la base de datos."
"db_adapter_unknown","ERROR: El adaptaro de base de datos es desconocido."
"could_not_create_admin_user","ERROR: No se pudo crear el usuario Admin."
"add_user","Agregar Usuario"
"could_not_write_system_xml","ERROR: No se pudo crear system.xml."
"pimcore_setup_completed","¡Se completó correctamente la configuración de pimcore!"
"submit","Enviar"
"steps_description","Si quiere usar pasos para versionar en lugar de días, por favor deje días vacío."
"days","Días"
"steps","Pasos"
"adapter","Adaptador de base de datos"
"dbname","Nombre de la base de datos"
"database","Base de datos"
"version_days","Días para versionar"
"version_steps","Pasos para versionar"
"problem_creating_new_class","Hubo un error, por favor asegurarse que el nombre de la clase tiene al menos 3 caracteres."
"seemode","Modo Vista"
"edit_current_page","Editar esta página"
"close","Cerrar"
"name_already_in_use","El nombre ya está en uso"
"name_and_key_must_be_defined","El nombre y el tipo tienen que estar definidos"
"mandatory_field_empty","Por favor llene todos los campos obligatorios"
"plugins","Plugins"
"plugin_info","Información del plugin"
"available_plugins","Plugins disponibles"
"settings_plugins","Opciones"
"plugin_classname","Nombre de la clase del plugin"
"plugin_includepaths","Rutas include del plugin"
"plugin_namespaces","Espacio de nombres del plugin"
"plugin_jspaths","Archivos JavaScript del plugin"
"plugin_csspaths","Archivos CSS del plugin"
"install","Instalar"
"uninstall","Desinstalar"
"plugin_uninstall_warning","¿Realmente quiere desinstalar este plugin? ¡ATENCION! ¡Se perderán todos los datos de este plugin!"
"some_fields_cannot_be_saved","No se pueden guardar algunos campos"
"icon_path","Ruta al icono"
"reload","Recargar"
"plugin_needs_reload","El plugin necesita una recarga de la interfaz de usuario para ser completamente funcional. ¿Quiere recargar ahora?"
"plugin_installing_please_wait","Se está instalando el plugin, por favor espere..."
"schedule","Calendario"
"time","Tiempo"
"version","Versión"
"active","Activo"
"success","Éxito"
"successful_saved_document","Se guardó su documento"
"error_moving_document","No se pudo mover su documento."
"translations","Traducciones de la Web"
"translations_admin","Traducciones del Administrador"
"debug_description","Cuando el modo de depuración esta activo; los errores y advertencias son presentados directamente en el navegador, Si no lo esta, estos mensajes se deshabilitan y se activa el controlador de error (Pagina de Error)"
"icon","Icono"
"add_document","Agregar documento"
"please_enter_the_name_of_the_new_document","Por favor ingresar el nombre del documento nuevo"
"successful_saved_asset","Recurso guardado correctamente"
"error_saving_asset","No se pudo guardar el recurso"
"error_saving_document","No se pudo guardar el documento"
"error_saving_object","No se pudo guardar el objeto"
"please_enter_the_name_of_the_new_object","Por favor introduzca el nombre del nuevo objeto"
"slider","Deslizador"
"name_not_valid","El nombre no es válido"
"filename_not_valid","El nombre no es válido"
"firstname","Nombre"
"lastname","Apellido"
"email","Email"
"cant_move_node_to_target","No es posible mover el nodo"
"error_moving_object","No se pudo mover el objeto"
"error_creating_object","No se puedo crear el objeto."
"error_creating_document","No se puedo crear el documento"
"domain","Dominio (ej: ejemplo.org)"
"translations_are_not_configured","Las traducciones no están configuradas"
"read_more_here","Leer más aquí"
"admin_theme","Tema del Admin"
"publish_version","Publicar versión"
"no_version","versión no disponible"
"save_only_new_version","Guardar solamente la versión nueva"
"there_is_a_newer_not_published_version","Hay una versión más nueva no publicada"
"datetime","Fecha y hora"
"google_credentials_and_api_keys","Google Credentials & API Keys"
"default_value","Valor por defecto"
"button","Botón"
"priority","Prioridad"
"from","De"
"to","Para"
"start","Inicio"
"end","Fin"
"location","Ubicación"
"every","Cada"
"su","Do"
"mo","Lu"
"tu","Ma"
"we","Mi"
"th","Ju"
"fr","Vi"
"sa","Sa"
"categories","Categorías"
"multihref","Multi-Href"
"session_error_text","Parece haber un problema con su sesión. ¿Quiere permanecer en ella bajo su propio riesgo?"
"session_error","Error de sesión"
"update_successful","¡Actualización exitosa!"
"select_plugin_update","Seleccionar actualizar plugin"
"select_update","Seleccionar actualización"
"stable_updates","Actualizaciones estables disponibles"
"non_stable_updates","Actualizaciones no estables disponibles"
"looking_for_updates","Pimcore está buscando nuevas versiones. Dependiendo de su versión, esto puede demorar un poco."
"please_wait","Por favor espere..."
"latest_version_already_installed","Tiene instalada la última versión."
"latest_pimcore_version_already_installed","Tiene instalada la última versión de pimcore."
"plugin_update_error","Hubo un error. Por favor verifique los permisos o inténtelo más tarde."
"update_error","Hubo un error."
"downloading_packages","Descargando paquetes..."
"start_update","Iniciar actualización"
"update_in_progress","Actualización en progreso..."
"plugindownload","Descargar plugins"
"download_plugins","Descargar plugins"
"download","Descargar"
"revision","Compilación"
"plugin_downloaded","Se descargó el plugin"
"plugin_downloaded_info","Se agregó un plugin. Por favor consultar la pestaña de plugins disponibles para instalarlo."
"plugin_download_failed","Falló la descarga"
"plugin_download_failed_info","Falló la descarga del plugin. ¡Por favor verificar los permisos!"
"plugin_repositories","Servidores de plugins (separados por coma)"
"inheritable","Heredable"
"mendatory_field_empty","El campo obligatorio está vacío"
"table","Tabla"
"rows","Filas"
"cols","Columnas"
"data","Datos"
"table_settings","Configuración de tabla"
"multihref_settings","Configuración Multihref"
"redirects","Redirigir"
"source","Fuente"
"language_admin","Lenguaje por defecto del administrador"
"valid_languages_frontend","Idiomas válidos en Frontend (ej: de, en)"
"link","Enlace"
"abbr","Abr."
"acronym","Acrónimo"
"downloading_plugin","Descargando plugin..."
"cache_enabled","Habilitar"
"cache_exclude_patterns","Excluir patrones"
"systemlog","Mensajes del sistema"
"stop","Detener"
"outputfilters","Filtros de salida"
"image_datauri_filter","DataURI de Imagen"
"dependencies","Dependencias"
"requires","Requiere"
"required_by","Requerido por"
"search_edit","Buscar, Editar y Exportar"
"subtype","Subtipo"
"minify_html","Comprimir HTML"
"initializing","Inicializando..."
"backup_error","Hubo un error al hacer backup"
"plugin_dir_error","El directorio del plugin no existe o no es escribible."
"user_save_success","Los datos del perfil del usuario se guardaron correctamente."
"user_save_error","No se pudieron guardar los datos del perfil del usuario."
"system_settings_save_success","La configuración del sistema se guardó correctamente."
"system_settings_save_error","No se pudo guardar la configuración del sistema."
"maintenance_not_active","Parece que el mantenimiento no está configurado correctamente"
"mail_settings_incomplete","Parece que la configuración del correo está incompleta"
"cover","Portada"
"contain","Contiene"
"please_select_a_type","Por favor seleccionar un tipo"
"min_value","Valor mín."
"max_value","Valor máx."
"increment","Incrementar paso"
"vertical","Vertical"
"datetime_settings","Configuración de fecha y hora"
"filter","Filtro"
"add_filter","Agregar filtro"
"field","Campo"
"operator","Operador"
"apply","Aplicar"
"clear_filter","Borrar filtro"
"output_cache","Caché de salida"
"lifetime","Vida"
"country","País"
"country_settings","Configuración de país"
"show","Mostrar"
"public","Público"
"maximum_2_versions","Puede comparar como máximo 2 versiones"
"error","Error"
"element_is_locked","Elemento en uso por otra persona"
"element_lock_message","El elemento deseado actualmente está abierto por otra persona:"
"element_lock_question","¿Quiere abrirlo de todas formas?"
"since","Desde"
"longitude","Longitud"
"latitude","Latitud"
"geopoint","Punto Geográfico"
"geopoint_settings","Configuración del punto geográfico"
"google_api_key_simple","Google API Key (Simple API Access for Maps, CSE, ...)"
"google_api_key_service","Google API Credentials (Service Account Client ID for Analytics, ...)"
"cancel","Cancelar"
"current_address","Dirección actual"
"open_search_editor","Abrir editor de busquedas"
"parameters","Parámetros"
"anchor","Ancla"
"accesskey","Clave de acceso"
"relation","Relación"
"tabindex","Indice de tabulación"
"not_set","no establecido"
"document_restrictions","Restricciones del documento"
"asset_restrictions","Restricciones del recurso"
"object_restrictions","Restricciones del objeto"
"allow_documents","permitir Documentos"
"allow_assets","permitir Recursos"
"allow_objects","permitir Objetos"
"allowed_types_hint","(vacío = permitir todo)"
"allowed_document_types","Tipos de documentos permitidos"
"allowed_asset_types","Tipos de recursos permitidos"
"export_csv","Exportar CSV"
"import_csv","Importar CSV"
"show_welcome_screen","Mostrar pantalla de bienvenida al inicio"
"edit_user_permissions","Editar los permisos del usuario"
"plugin_misconfiguration","No se pueden abrir los plugins. Por favor verificar los permisos de la carpeta de plugins y el servidor de plugins en la configuración del sistema"
"plugin_repositories_description","Especificar uno o más servidores de plugins a donde pimcore se conecte para descargar y actualizar los plugins"
"website","Sitio Web"
"plugin_build","plugin construido"
"permission_overwrite_children","Guardar y Forzar en hijos"
"permission_reset","Restablecer"
"superselectbox_empty_text","Por favor ingresar el valor deseado y presionar la tecla Intro"
"valid_languages_frontend_empty_text","Por favor elegir los idiomas válidos del sistema"
"language_download","Descargar los idiomas del sistema"
"language_downloaded","Se descargó el archivo de idioma"
"language_downloaded_info","El archivo de idioma fue instalado exitosamente.Es necesario recargar pimcore antes de que el nuevo idioma este disponible.Desea recargar pimcore ya?"
"language_download_failed","Falló la descarga del idioma del sistema"
"language_download_failed_info","No se pudo desacargar el archivo de idioma."
"language_translation_percentage","traducido"
"downloading_language","Descargando archivo de idioma..."
"user_creation_error","No se pudo crear el usuario"
"duplicate_username","los nombres de usuario y grupo de usuarios tienen que ser únicos!"
"importFileHasHeadRow","primera fila = encabezado"
"log_messages_user_mail_description","Email recipient of messages for activated log levels. This must be an admin user with a email address. Please make sure that the email settings are provided correctly if you want to use email logging."
"log_messages_user_mail_recipient","Log messages email recipient"
"loglevels","Niveles de Log"
"loglevels_description","Los datos generados por el Log para los niveles seleccionados seran escritos en el archivo website/var/log/debug.log.Los errores mas críticos siempren son tenidos en cuenta para su registro en el Log, Estos no deben ser desactivados."
"email_senderemail","Email del remitente"
"email_sendername","Nombre del remitente"
"email_returnemail","Retorno del correo electrónico"
"email_returnname","Volver  Nombre"
"email_method","Método de email"
"email_smtp_host","Host de SMTP"
"email_smtp_port","Puerto de SMTP"
"email_smtp_name","Nombre de SMTP"
"email_smtp_auth_method","Método de autenticación de SMTP"
"no_authentication","Sin autenticación"
"email_smtp_auth_username","Nombre de usuario de SMTP"
"email_smtp_auth_password","Contraseña de SMTP"
"email_smtp_ssl","Seguridad de transporte de SMTP"
"email_debug_addresses","Direcciones de email para depuración"
"email_debug_addresses_empty_text","Ingrese la lista de direcciones de email que están habilitadas para recibir emails de depuración"
"email_debug_domains","Debug email domains"
"email_debug_domains_empty_text","Enter a list of domains (e.g. pimcore.org) that are allowed to receive debug emails. All email addresses form this domains are allowed to receive debug emails."
"no_ssl","-"
"user_settings","Configuración del usuario"
"error_deleting_object","No se puedo eliminar el objeto"
"user_object_dependencies","Usuario - Dependencias del objeto"
"user_object_dependencies_description","Este usuario está referenciado por los siguientes objetos:"
"overwrite_object_with_same_key","Sobrescribir"
"overwrite_object_with_same_key_description","When overwrite is checked, instead of creating a new object for each import row, objects with the same key are replaced. Existing objects in your import folder with keys not contained in the import file will remain untouched. Please be aware that all objects which have a matching key in the import file will be replaced in the target folder. This is also true for objects based on a different class or even object folders! Object fields which are set to ignore in the field mapping keep their old value."
"object_import_filename_description","Seleccione los campos que son usados para generar el object key"
"save_pubish_close","Guardar, publicar y cerrar"
"save_close","Guardar y cerrar"
"webservice","Servicio Web API (Cacaterística Beta)"
"webservice_enabled","Servicio Web API activado"
"webservice_description","Enabling the web service allows all admin users to access the pimcore SOAP API (Note: web service must be enabled for the WSDL to become accessible). Please check the pimcore wiki to find out how the token needs to be generated."
"user_admin_description","Admin users do not only automatically gain all permissions listed below, they are also allowed to perform all actions on documents, assets and objects without any restrictions. Moreover, admin users can access pimcore assets through WebDAV and the pimcore SOAP API (Provided that WebDAV and web service access is enabled and configured in the system settings)"
"user_apikey_change_warning","Por favor tener en cuenta que cambiando la contraseña tambien se cambia la Clave de la API para los Servicios Web"
"user_apikey_description","API key required for web service access by this user"
"apikey","Clave API"
"successful_publish_document","Su documento ha sido publicado"
"successful_unpublish_document","Su documento ha sido ocultado"
"error_publish_document","Su documento no puede ser publicado"
"error_unpublish_document","Su documento no puede ser ocultado"
"successful_publish_object","Su objeto ha sido publicado"
"successful_unpublish_object","Su objeto ha sido ocultado"
"error_publish_object","Su objeto no puede ser publicado"
"error_unpublish_object","Su objeto no puede ser ocultado"
"error_general","El servidor lanzó una excepción - no se pudo realizar la acción"
"missing_permission","Faltan permisos para esta acción"
"lazy_loading","Carga diferida"
"lazy_loading_description","Lazy loading means that related objects are not loaded initially when the object is instantiated. When accessing the object programmatically, relations are only loaded when the according get method is called."
"lazy_loading_activated","(La Carga diferida esta Activada)"
"non_owner_description","Non owner objects represent relations to an other object just in the same way as objects do. The difference is, that a non owner object field is not the owner of the relation data, it is merely a view on data stored in other objects. Please choose the owner and field name where the data is originally stored."
"owner_class","Dueño de Clase"
"owner_field","Dueño de Campo"
"nonownerobject_warning","El objeto actual no es el propietario de las relaciones de estos, haciendo cambios aquí podría hacer guardar el objeto lento"
"element_implicit_edit_question","Would you still like to implicity modify it with this action?"
"element_is_open","Los elementos de referencia ya están abiertos"
"element_open_message","El elemento deseado  ya está abierto para editarse."
"nonownerobjects","Objetos (Sin Dueño)"
"nonownerobjects_self_selection","En los objetos sin dueño no es posible que exista una relacion a si mismo, Por favor utlize el campo original en lugar de un campo sin dueño."
"warning","Advertencia"
"csv_object_export_warning","Tenga en cuenta que la exportación CSV no es compatible con todo tipo de datos. Por lo tanto, volver a importar un CSV exportación a pimcore podría producir la pérdida de datos. Pulse Aceptar para continuar con la exportación."
"Initializing","Inicializando"
"import_archive","Archivo de Importación"
"export_archive","Exportar (Archivo)"
"element_export_skip_root","Exportar solo elementos secundarios"
"element_export_recursive","Incluir elementos secundarios"
"element_export_include_relations","Incluir elementos de referencia"
"exporting_elements","Exportando Elementos..."
"export_items_finished","Items finalizados"
"element_import_settings","Importar Configuraciones"
"element_import_overwrite","Sobrescribir el elemento si la ruta ya existe"
"importing_elements","Importando Elementos..."
"element_import","Elemento de Importación"
"element_import_finished","Importación Finalizada"
"element_import_finished_hint","Todos los elementos se han importado correctamente. Si los elementos relacionados fueron incluidos, pimcore trató de devolverlos a su ruta original. Si ese camino no existe, pimcore los devolvió a la carpeta raíz."
"error_renaming_object","Hubo un error mientras se renombraba el objeto."
"element_import_import","importar elementos - renombrar la clase de rutas duplicadas"
"navigation_settings","Opciones de Navegación"
"navigation_enhanced","Opciones Mayores de Navegación"
"navigation_target","Objetivo"
"navigation_basic","Opciones de Navegación Básicas"
"further_navigation_settings","Más Opciones de Navegación"
"navigation_exclude","Excluir de la Navegación"
"allow_variants","Permitir variantes"
"variants","Variantes"
"variant","Variante"
"add_variant","Añadir variante"
"please_enter_the_name_of_the_new_variant","Por favor inserte el nombre de la nueva variante"
"remove_variant","Eliminar variante"
"remove_variant_text","Está seguro de que desea eliminar esta variante"
"error_creating_variant","Error creando la variante"
"prevented creating object because object with same path+key already exists","La creación no fue posible porque la variante o el objeto con el mismo path+key ya existe"
"allowed_class_field","Clase/Campo Permitido"
"swf_upload_text_add","Añadir Archivo(s)"
"swf_upload_text_upload","Subir Archivo(s)"
"swf_upload_text_cancel","Cancelar Subida"
"swf_upload_text_clear","Limpiar Lista"
"swf_upload_text_progressbar","Barra de Progreso"
"swf_upload_text_remove","Eliminar Archivo"
"swf_upload_text_remove_sure","¿Está seguro de que desea eliminar este archivo de la lista?"
"swf_upload_text_error","Error"
"swf_upload_text_uploading","Subiendo archivo: {0} ({1} de {2})"
"swf_upload_header_filename","Nombre del archivo"
"swf_upload_header_size","Tamaño"
"swf_upload_header_status","Estado"
"swf_upload_status_queued","Añadido en la lista"
"swf_upload_status_uploading","Subiendo..."
"swf_upload_status_completed","Completado"
"swf_upload_status_error","Error"
"swf_upload_status_cancelled","Cancelado"
"swf_upload_error_queue_exceeded","Los archivos seleccionados exceden el número de {0} archivos en la lista."
"swf_upload_error_queue_slots_0","No queda mas espacio libre"
"swf_upload_error_queue_slots_1","Solo queda un espacio libre"
"swf_upload_error_queue_slots_2","Solo quedan {0} espacios libres"
"swf_upload_error_size_exceeded","Los archivos seleccionados exceden el límite permitido de {0}."
"swf_upload_error_zero_byte_file","Seleccionado archivo de cero byte."
"swf_upload_error_invalid_filetype","Formato de archivo seleccionado inválido"
"swf_upload_error_file_not_found","Archivo no encontrado 404."
"swf_upload_error_security_error","Error de Seguridad. No está permitido publicar en una diferente url"
"delete_message_dependencies","Hay dependencias, ¿borrar de todos modos?"
"delete_message","¿Desea eliminar este elemento?"
"objectbricks","Objectbricks"
"add_objectbrick","Añadir un Objectbrick"
"delete_objectbrick","Eliminar un Objectbrick"
"delete_objectbrick_text","¿Realmente quiere eliminar el objecto brick seleccionado?"
"class_definitions","Definición de Clases"
"enter_the_name_of_the_new_objectbrick","Inserte el nombre del nuevo Objectbrick"
"no_further_objectbricks_allowed","No se permiten más objectbricks"
"problem_creating_new_objectbrick","Problema al crear un nuevo Objectbrick"
"structuredTable","Tabla Estructurada"
"structuredTable_settings","Configurar Tabla Estructurada"
"position","Posición"
"structuredtable_type_number","Número"
"structuredtable_type_text","Texto"
"structuredtable_type_bool","Casilla de Verificación"
"structuredtable_invalid_key","Clave Inválida"
"data_width","Ancho de Columnas de Datos"
"grid_current_language","Idioma Actual"
"grid_column_config","Configuracón de Columna"
"selected_grid_columns","Columnas seleccionadas de la tabla"
"object_columns","Columnas de Objeto"
"system_columns","Columnas de Sistema"
"columns","Columnas"
"children_grid","Children Grid"
"only_children","just direct child objects"
"hotspotimage_add_selector","Agregar Hotspot"
"hotspotimage_enter_name_of_new_hotspot","Ingrese el nombre del nuevo Hotspot"
"hotspotimage","Imagen con Hotspots"
"hotspotimage_no_image","Por favor, defina una imagen primero"
"objectsMetadata_allowed_class","Clases Permitidas"
"objectsMetadata_visible_fields","Campos Visibles"
"objectsMetadata_type_number","Numero"
"objectsMetadata_type_text","Texto"
"objectsMetadata_type_bool","Lógico (Verdado o Falso)"
"objectsMetadata_type_select","Seleccionar"
"objectsMetadata_settings","Configuración (Objetos con metadata)"
"objectsMetadata","Objetos con Metadatos"
"objectbrick_saved_successfully","Objeto brick guardado correctamente"
"cut","Cortar"
"paste_cut_element","Pegar elementos cortados"
"file_explorer_saved_file_success","Saved successfully"
"file_explorer_saved_file_error","Cannot save file"
"reserved_field_names_error","Please do not use the following reserved field names: "
"","Agragar Grupo de Usuario"
"","Todas las clases"
"","Permitir ambos"
"","Aquí puede definir una cuenta de Google independiente para 'Analytics'. Si usted deja este espacio en blanco entonces se utilizará la cuenta Google definida en la configuracion del sistema"
"","ID de seguimiento (ej: UA-XXXXX-X)"
"","Deshabilitar cookie"
"","CDN"
"","CND Hostnames"
"","CND incluye patrones"
"","Eliminar usuario"
"","Eliminar grupo de usuarios"
"","Clave del desarrollador"
"","Modalidad de Etapa de Desarrollo"
"","La modailidad de Etapa de Desarrollo esta habilitada"
"","La sincronización esta completa. Iniciemos el administrador con la modalidad 'En Vivo'"
"","Desea mover el estado actual en el 'Modo de Etapa de Desarrollo' al sistema en vivo?"
"","Habilitar la modalidad de Etapa de Desarrollo"
"","Esta seguro que desea habilitar la Modalidad de Etapa de Desarrollo?NOTA: Porfavor realizar limpieza antes de continuar!"
"","La modalidad de Etapa de Desarrollo se encuentra lista. Ahora es posible cambiar a esta etapa."
"","Página de error"
"","Credenciales de Google"
"","La cuenta de Google se usa por ejemplo para YouTube y Analytics Integration"
"","Clave de Google Maps API"
"","El API-Key es recomendable para el campo del punto geográfico del objeto, esto activará un modo de edición más avanzado"
"","cargar datos ahora"
"","Parece que el mantenimiento no está adecuadamente configurado"
"","Recursos"
"","Clases"
"","Borrar caché"
"","Borrar archivos temporales"
"","Tipos de documento"
"","Documentos"
"","Formularios"
"","Objetos"
"","Plugins"
"","Propiedades predefinidas"
"","Rutas"
"","Modo Vista"
"","Configuración del sistema"
"","Miniaturas"
"","Traducciones"
"","Usuarios"
"","Glosario"
"","Redirigir"
"","Informes & Marketing"
"","Actualizar"
"","Por favor ingresar el nombre del grupo de usuarios:"
"","Por favor ingresar el nombre del usuario:"
"","API de Scribd (para vista previa de recursos)"
"","Elegir Colección de Campos"
"","Si usted desea utilizar la 'Modalidad de Etapa de Desarrollo' entonces necesita definir una base de datos Alternativa (con el mismo usuario y servidor) y el servidor que sera utilizado para el entorno de desarrollo."
"","Información del Sistema"
"","Hay dependencias ¿continuar de todas formas?"
"","Verificación del nombre de archivo"
"","Aquí puede definir una cuenta de Google independiente para 'Webmaster Tools'. Si usted deja este espacio en blanco entonces se utilizará la cuenta Google definida en la configuracion del sistema"
"","API de YouTube (para vista previa de recursos)"
"","Youtube no está configurado. Para activar la previsualización del video, por favor asegurese de que, Youtube está configurado correctamente en las opciones del sistema."
